id,address_1,city,state_province,postal_code,country,latitude,longitude
175,7650 Al-Quds Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.500352,34.544115
176,41101 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.545201,34.488119
177,31235 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.511461,35.067013
178,3456 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.107136,35.106639
179,363 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.999791,35.132234
180,56307 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.75913,35.26721
181,083 Gaza-Khan Yunis Road,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.343343,34.288767
182,3227 Al-Quds Street,Salfit,The State of Palestine,44837,The State of Palestine,32.115918,35.107396
183,7246 Shuhada Street,Hebron,The State of Palestine,90100,The State of Palestine,31.54695,35.10357
184,033 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.117404,35.114606
185,453 Martyrs Street,Rafah,The State of Palestine,00800,The State of Palestine,31.282309,34.222336
186,84036 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.976865,35.197489
187,84698 Al-Makhfiya Street,Nablus,The State of Palestine,44839,The State of Palestine,32.211966,35.251309
188,343 Al-Wehda Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.503056,34.536708
189,001 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.311393,35.227141
190,04365 Huwaij Street,Nablus,The State of Palestine,44839,The State of Palestine,32.222178,35.253831
191,4153 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.557777,34.548347
192,5911 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.856131,35.127123
193,9964 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.925629,35.223654
194,71917 Al-Wehda Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.913761,35.21754
195,5394 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.856196,35.120149
196,285 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.19689,34.588919
197,2193 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.349689,34.290212
198,7520 Hajja Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.193124,34.597991
199,8672 Omar Mukhtar Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.533857,34.48197
200,4061 Al-Wehda Street,Salfit,The State of Palestine,44837,The State of Palestine,32.108924,35.105601
201,93719 Star Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.717015,35.200527
202,5724 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.459818,35.099316
203,8429 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.852443,35.454547
204,606 Beir Onah Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.719051,35.180443
205,94488 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.752672,35.26471
206,159 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.999235,35.134016
207,89770 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.345226,34.288942
208,59584 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.110068,35.118329
209,785 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.845103,35.13121
210,865 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.423479,34.354502
211,9413 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.70795,35.229519
212,98271 Al-Shab Street,Rafah,The State of Palestine,00800,The State of Palestine,31.291344,34.245574
213,490 Al-Makhfiya Street,Nablus,The State of Palestine,44839,The State of Palestine,32.219983,35.242091
214,47923 Asira Street,Qalqilya,The State of Palestine,44844,The State of Palestine,32.194885,34.593249
215,088 Al-Naser Street,Rafah,The State of Palestine,00800,The State of Palestine,31.306134,34.229214
216,236 Al-Wehda Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.546473,34.494876
217,717 Main Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.525469,35.156566
218,371 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.516398,35.066562
219,002 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.463441,35.092401
220,986 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.551967,34.546606
221,4145 Al-Amal Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.984731,35.182825
222,22512 Al-Amal Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.988976,35.187734
223,406 Al-Amal Street,Tubas,The State of Palestine,44838,The State of Palestine,32.320172,35.228542
224,13218 Al-Quds Street,Halhul,The State of Palestine,90450,The State of Palestine,31.587782,35.105991
225,165 Al-Amal Street,Biddu,The State of Palestine,90910,The State of Palestine,31.858263,35.123402
226,8193 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.102857,35.101551
227,023 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.516005,35.061326
228,725 Al-Amal Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.989069,35.193282
229,928 Umm Al-Rakab Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.70411,35.224987
230,0347 Al-Rasheed Street,Gaza City,The State of Palestine,00970,The State of Palestine,31.517378,34.500563
231,679 Al-Amal Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.981799,35.14674
232,11198 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.552227,34.548875
233,01129 Al-Najjar Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.705357,35.221567
234,41189 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.752565,35.264224
235,7334 Al-Wehda Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.913745,35.219534
236,7371 Al-Quds Street,Dura,The State of Palestine,90200,The State of Palestine,31.512948,35.067556
237,904 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.30009,34.240714
238,5048 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.182694,35.024526
239,63004 Al-Wehda Street,Yatta,The State of Palestine,90300,The State of Palestine,31.456428,35.082459
240,26403 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.901935,35.204122
241,59187 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.989935,35.145626
242,293 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.189064,35.021466
243,3848 Al-Amal Street,Halhul,The State of Palestine,90450,The State of Palestine,31.587713,35.102452
244,78484 Salah Eddin Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.554946,34.541444
245,0645 Al-Quds Street,Ramallah,The State of Palestine,90710,The State of Palestine,31.906431,35.200048
246,547 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.11399,35.114345
247,232 Azzahra Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.752825,35.268643
248,701 Al-Manara Square,Ramallah,The State of Palestine,90710,The State of Palestine,31.906837,35.205925
249,156 Al-Madares Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.429019,34.356334
250,51327 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.521894,35.150345
251,9403 Al-Khader Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.717788,35.187195
252,0732 Manger Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.705185,35.210439
253,5864 Wadi Al-Tuffah Street,Hebron,The State of Palestine,90100,The State of Palestine,31.543095,35.109943
254,66244 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.84805,35.138502
255,6873 Al-Amal Street,Dura,The State of Palestine,90200,The State of Palestine,31.511381,35.064776
256,665 Al-Khader Street,Beit Jala,The State of Palestine,90918,The State of Palestine,31.716889,35.184966
257,9959 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.284103,34.229783
258,4672 Al-Quds Street,Biddu,The State of Palestine,90910,The State of Palestine,31.847672,35.136174
259,90968 Al-Quds Street,Al-Bireh,The State of Palestine,90710,The State of Palestine,31.927642,35.219669
260,7809 Jamal Abdel Nasser Street,Khan Yunis,The State of Palestine,00930,The State of Palestine,31.351539,34.29746
261,88119 Al-Jalaa Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.544141,34.487654
262,77797 Al-Quds Street,Birzeit,The State of Palestine,90845,The State of Palestine,31.989818,35.196022
263,484 Jaffa Street,Tulkarem,The State of Palestine,44840,The State of Palestine,32.315471,35.015289
264,307 Al-Quds Street,Salfit,The State of Palestine,44837,The State of Palestine,32.105227,35.109903
265,2136 Al-Quds Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.994544,35.143355
266,762 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.555897,34.545216
267,11839 Salah Eddin Street,Abu Dis,The State of Palestine,90000,The State of Palestine,31.755565,35.260658
268,1829 Al-Amal Street,Salfit,The State of Palestine,44837,The State of Palestine,32.10904,35.109339
269,40184 Al-Quds Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.428189,34.351502
270,807 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.453793,35.086118
271,2009 Al-Salam Street,Bani Na'im,The State of Palestine,90400,The State of Palestine,31.520547,35.153695
272,267 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.428224,34.354228
273,6965 Al-Amal Street,Yatta,The State of Palestine,90300,The State of Palestine,31.462805,35.08918
274,80171 Al-Wehda Street,Bani Zeid,The State of Palestine,90620,The State of Palestine,31.992889,35.138
275,35855 Asira Street,Azzun,The State of Palestine,44846,The State of Palestine,32.180784,35.020931
276,841 Shepherds Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.7011,35.225997
277,850 Haifa Street,Jenin,The State of Palestine,44843,The State of Palestine,32.457998,35.297613
278,622 Al-Bahr Street,Rafah,The State of Palestine,00800,The State of Palestine,31.296644,34.226501
279,2615 Shepherds Street,Beit Sahour,The State of Palestine,90917,The State of Palestine,31.701571,35.228454
280,4916 Al-Bahr Street,Beit Hanoun,The State of Palestine,00960,The State of Palestine,31.552582,34.546845
281,706 Aqabat Jaber Street,Jericho,The State of Palestine,90600,The State of Palestine,31.861463,35.455188
282,4734 Manger Street,Bethlehem,The State of Palestine,90907,The State of Palestine,31.718207,35.216558
283,6150 Al-Najma Street,Jabalia,The State of Palestine,00950,The State of Palestine,31.538822,34.489198
284,66445 Al-Saada Street,Deir al-Balah,The State of Palestine,00920,The State of Palestine,31.428129,34.352243
